year,NTACode,NTAName,Pop_1E,Education Budget,Police Budget,SocServices Budget,Crime Cost Per Capita Actual,Predicted Crime Cost Per Capita,Total Cost,Cost Change over Year,prior_year_cost,tot_budget
2015,BK09,Brooklyn Heights-Cobble Hill,24140,1676,556,738,181,370,3151,NA,184,2970
2016,BK09,Brooklyn Heights-Cobble Hill,24140,1786,564,730,173,366,3253,102,181,3080
2017,BK09,Brooklyn Heights-Cobble Hill,24140,1848,527,715,236,358,3326,73,173,3090
2018,BK09,Brooklyn Heights-Cobble Hill,24140,1639,684,727,217,410,3267,-59,236,3050
2019,BK09,Brooklyn Heights-Cobble Hill,24140,1728,605,762,163,400,3258,-9,217,3095
2015,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,66293,1752,256,152,315,766,2475,NA,630,2160
2016,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,66293,1924,260,150,478,516,2812,337,315,2334
2017,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,66293,1985,242,147,318,645,2692,-120,478,2374
2018,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,66293,1760,315,150,461,518,2686,-6,318,2225
2019,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,66293,1856,278,157,287,633,2578,-108,461,2291
2015,BK19,Brighton Beach,34157,1643,235,244,486,797,2608,NA,396,2122
2016,BK19,Brighton Beach,34157,1822,238,241,398,869,2699,91,486,2301
2017,BK19,Brighton Beach,34157,1915,222,236,596,798,2969,270,398,2373
2018,BK19,Brighton Beach,34157,1698,289,240,398,956,2625,-344,596,2227
2019,BK19,Brighton Beach,34157,1790,255,252,288,800,2585,-40,398,2297
2015,BK21,Seagate-Coney Island,29677,4207,647,607,1058,1897,6519,NA,1484,5461
2016,BK21,Seagate-Coney Island,29677,4666,656,600,1110,1557,7032,513,1058,5922
2017,BK21,Seagate-Coney Island,29677,4904,612,588,1069,1596,7173,141,1110,6104
2018,BK21,Seagate-Coney Island,29677,4349,795,598,953,1565,6695,-478,1069,5742
2019,BK21,Seagate-Coney Island,29677,4586,703,626,938,1477,6853,158,953,5915
2015,BK23,West Brighton,15754,1812,275,320,9736,8071,12143,NA,9287,2407
2016,BK23,West Brighton,15754,2009,278,316,8378,8428,10981,-1162,9736,2603
2017,BK23,West Brighton,15754,2111,260,310,11012,7347,13693,2712,8378,2681
2018,BK23,West Brighton,15754,1873,337,315,4055,9443,6580,-7113,11012,2525
2019,BK23,West Brighton,15754,1975,298,330,13630,3912,16233,9653,4055,2603
2015,BK25,Homecrest,44516,2154,181,170,1853,1044,4358,NA,879,2505
2016,BK25,Homecrest,44516,2389,184,168,2069,1818,4810,452,1853,2741
2017,BK25,Homecrest,44516,2509,171,164,1527,1989,4371,-439,2069,2844
2018,BK25,Homecrest,44516,2225,222,167,1729,1558,4343,-28,1527,2614
2019,BK25,Homecrest,44516,2346,197,175,2286,1720,5004,661,1729,2718
2015,BK26,Gravesend,30288,3380,461,230,761,699,4832,NA,397,4071
2016,BK26,Gravesend,30288,3749,467,228,350,988,4794,-38,761,4444
2017,BK26,Gravesend,30288,3939,436,223,322,660,4920,126,350,4598
2018,BK26,Gravesend,30288,3494,566,227,332,639,4619,-301,322,4287
2019,BK26,Gravesend,30288,3684,501,238,354,648,4777,158,332,4423
2015,BK27,Bath Beach,33163,2327,200,105,2021,1372,4653,NA,1299,2632
2016,BK27,Bath Beach,33163,2638,203,104,2008,1946,4953,300,2021,2945
2017,BK27,Bath Beach,33163,2817,189,102,1646,1935,4754,-199,2008,3108
2018,BK27,Bath Beach,33163,2498,245,104,1569,1647,4416,-338,1646,2847
2019,BK27,Bath Beach,33163,2634,217,108,1620,1587,4579,163,1569,2959
2015,BK28,Bensonhurst West,91646,1878,164,104,339,559,2485,NA,385,2146
2016,BK28,Bensonhurst West,91646,2123,167,102,283,521,2675,190,339,2392
2017,BK28,Bensonhurst West,91646,2263,155,100,273,476,2791,116,283,2518
2018,BK28,Bensonhurst West,91646,2007,202,102,226,469,2537,-254,273,2311
2019,BK28,Bensonhurst West,91646,2116,178,107,237,433,2638,101,226,2401
2015,BK29,Bensonhurst East,64267,1832,182,99,385,557,2498,NA,319,2113
2016,BK29,Bensonhurst East,64267,2034,185,98,452,609,2769,271,385,2317
2017,BK29,Bensonhurst East,64267,2140,172,96,392,662,2800,31,452,2408
2018,BK29,Bensonhurst East,64267,1898,224,98,259,615,2479,-321,392,2220
2019,BK29,Bensonhurst East,64267,2001,198,103,251,510,2553,74,259,2302
2015,BK30,Dyker Heights,45877,2451,176,72,157,326,2856,NA,184,2699
2016,BK30,Dyker Heights,45877,2779,178,71,219,304,3247,391,157,3028
2017,BK30,Dyker Heights,45877,2968,166,70,190,353,3394,147,219,3204
2018,BK30,Dyker Heights,45877,2632,216,71,143,330,3062,-332,190,2919
2019,BK30,Dyker Heights,45877,2775,191,74,175,294,3215,153,143,3040
2015,BK31,Bay Ridge,79134,3191,228,142,497,847,4058,NA,715,3561
2016,BK31,Bay Ridge,79134,3617,232,140,1168,673,5157,1099,497,3989
2017,BK31,Bay Ridge,79134,3863,216,138,1119,1206,5336,179,1168,4217
2018,BK31,Bay Ridge,79134,3426,281,140,1123,1167,4970,-366,1119,3847
2019,BK31,Bay Ridge,79134,3613,248,146,548,1172,4555,-415,1123,4007
2015,BK32,Sunset Park West,57377,2946,321,341,1572,1877,5180,NA,1943,3608
2016,BK32,Sunset Park West,57377,3326,326,337,2606,1582,6595,1415,1572,3989
2017,BK32,Sunset Park West,57377,3497,304,330,2938,2402,7069,474,2606,4131
2018,BK32,Sunset Park West,57377,3101,395,336,2358,2667,6190,-879,2938,3832
2019,BK32,Sunset Park West,57377,3270,349,352,1980,2209,5951,-239,2358,3971
2015,BK33,Carroll Gardens-Columbia Street-Red Hook,42463,3394,654,429,1607,1548,6084,NA,1419,4477
2016,BK33,Carroll Gardens-Columbia Street-Red Hook,42463,3826,664,424,844,1697,5758,-326,1607,4914
2017,BK33,Carroll Gardens-Columbia Street-Red Hook,42463,3993,619,415,1273,1088,6300,542,844,5027
2018,BK33,Carroll Gardens-Columbia Street-Red Hook,42463,3541,804,422,1321,1431,6088,-212,1273,4767
2019,BK33,Carroll Gardens-Columbia Street-Red Hook,42463,3734,711,442,1226,1472,6113,25,1321,4887
2015,BK34,Sunset Park East,71850,1294,127,181,492,780,2094,NA,544,1602
2016,BK34,Sunset Park East,71850,1462,129,179,625,738,2395,301,492,1770
2017,BK34,Sunset Park East,71850,1541,120,175,462,843,2298,-97,625,1836
2018,BK34,Sunset Park East,71850,1366,156,178,478,714,2178,-120,462,1700
2019,BK34,Sunset Park East,71850,1441,138,186,332,728,2097,-81,478,1765
2015,BK35,Stuyvesant Heights,67371,2049,571,259,2575,3569,5454,NA,4137,2879
2016,BK35,Stuyvesant Heights,67371,2104,579,256,2733,2326,5672,218,2575,2939
2017,BK35,Stuyvesant Heights,67371,2092,540,251,3054,2452,5937,265,2733,2883
2018,BK35,Stuyvesant Heights,67371,1855,702,255,2773,2708,5585,-352,3054,2812
2019,BK35,Stuyvesant Heights,67371,1956,621,267,2770,2486,5614,29,2773,2844
2015,BK37,Park Slope-Gowanus,73881,1965,343,343,538,840,3189,NA,719,2651
2016,BK37,Park Slope-Gowanus,73881,2183,348,340,397,696,3268,79,538,2871
